Name,Rolls,Current Substation (from Rolls),record_id,Width Average (mm)
CDCBM - R40294: X - PO-5186,R40294: CDCBM,Material Prep,recHlVWLdB06yy7M8,1406.7
CDCBM - R40313: X - PO-5186,R40313: CDCBM,Material Prep,recVAEWxrqzUb69cz,1393.3
CDCBM - R52040: X - PO-5186,R52040: CDCBM,Material Prep,recGjVkf3dIFJPCKM,1400.0
CDCBM - R44447: X - PO-4928,R44447: CDCBM,Material Prep,recaqrt2TWWCZNesY,1393.3
CDCBM - R40297: X - PO-5186,R40297: CDCBM,Material Prep,recudTp0xLsO9ENMb,1390.0
CDCBM - R44407: X - PO-4928,R44407: CDCBM,Material Prep,recGPHMAWWKYG2VdV,1390.0
CDCBM - R44302: X - PO-4928,R44302: CDCBM,Material Prep,recH7MXygHMZIQek7,1390.0
CDCBM - R44434: X - PO-4928,R44434: CDCBM,Material Prep,recSsvbEYUuX94YIp,1400.0
CDCBM - R45243: X - PO-4928,R45243: CDCBM,Material Prep,recjBbd0YLK2dVdhw,1400.0
CDCBM - R45082: X - PO-5186,R45082: CDCBM,Material Prep,recV80VVXuyGCbT6y,1400.0
CDCBM - R52176: X - PO-5186,R52176: CDCBM,Material Prep,recoBZRaGgifcjtHX,1393.3
CDCBM - R52458: X - PO-5186,R52458: CDCBM,Material Prep,rec5JASTgYqljNQSt,1383.3
CDCBM - R52513: X - PO-5186,R52513: CDCBM,Material Prep,rec2sYPAqkoNYrHk0,1393.3
CDCBM - R53023: X - PO-5186,R53023: CDCBM,Material Prep,rec4479LVeSA7JMhS,1400.0
CDCBM - R53123: X - PO-5186,R53123: CDCBM,Material Prep,recM9IjH0NpKhdnKm,1400.0
CDCBM - R53201: X - PO-5186,R53201: CDCBM,Material Prep,recFff05TVInu98it,1385.0
CDCBM - R40283: X - PO-5186,R40283: CDCBM,Material Prep,recUsmZ0M3QemXFZy,1453.3
CDCBM - R40324: X - PO-5186,R40324: CDCBM,Material Prep,recDLcyTnhFEwVB4Q,938.0
CDCBM - R52230: X - PO-5186,R52230: CDCBM,Material Prep,recVjzRF9dVEKCnnl,1430.0
CDCBM - R53088: X - PO-5186,R53088: CDCBM,Material Prep,rec5Jh3N54UmrVWse,1433.3
CDCBM - R53485: X - PO-5186,R53485: CDCBM,Material Prep,recj01BmtI5Zlx3qk,1396.7
CDCBM - R54929: X - PO-5186,R54929: CDCBM,Material Prep,recrzEOPVkWeODen8,1393.3
CDCBM - R53901: X - PO-5186,R53901: CDCBM,Material Prep,recT9WMAAGwNFjEqZ,1390.0
CDCBM - R55383: X - PO-5186,R55383: CDCBM,Material Prep,recDcP3YFoIEvi1MM,1400.0
CDCBM - R55468: X - PO-5186,R55468: CDCBM,Material Prep,recVHKaX6ESf1JxSM,1400.0
CDCBM - R55534: X - PO-5186,R55534: CDCBM,Material Prep,rec1BzmhC4Rrzs694,1390.0
CDCBM - R55804: X - PO-5186,R55804: CDCBM,Material Prep,recAz29i4wbwGTCTG,1386.7
CFT97 - R50860: X - PO-7026,R50860: CFT97,Scour: Wash,rec4aBEYa77oqI5us,1680.0
CFT97 - R31084: X - PO-3113,R31084: CFT97,Pretreatment,recEf3JbQusHttHKq,1560.0
CFT97 - R45272: X - PO-3113,R45272: CFT97,Material Prep,recogVRJjtfxEWSiN,59.0
CFT97 - R45155: X - PO-3113,R45155: CFT97,Material Prep,recOIitRR1HChVBiL,338.5
CFT97 - R30826: X - PO-3113,R30826: CFT97,Pretreatment,recc66EgOfEdZSf6K,1600.0
CFT97 - R44759: X - PO-3113,R44759: CFT97,Material Prep,recryzVI8im7De8jK,337.5
CFT97 - R45302: X - PO-3113,R45302: CFT97,Material Prep,recCdmZUk3DsFsBtx,1555.0
CFT97 - R45767: X - PO-3113,R45767: CFT97,Material Prep,rechwsYsZf9PhjXyc,1540.0
CFT97 - R45766: X - PO-3113,R45766: CFT97,Material Prep,recDQIDqYRg0gNCs2,1525.0
CFT97 - R45695: X - PO-3113,R45695: CFT97,Material Prep,recOwgomDVwVX8yAw,1560.0
CFT97 - R45816: X - PO-4837,R45816: CFT97,Material Prep,rec5FaMrWmopaOo03,1540.0
CFT97 - R47043: X - PO-3113,R47043: CFT97,Material Prep,recwIdyP8CkVxFjyW,1560.0
CFT97 - R46489: X - PO-3113,R46489: CFT97,Material Prep,recrjhJxglQkSP8Rg,1530.0
CFT97 - R46446: X - PO-3113,R46446: CFT97,Material Prep,recqjeVjmOKuWHzDW,1530.0
